Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_1,avg_price_per_room,no_of_special_requests,booking_status
INN00333,2,0,2,1,3,0,1,110,2017,7,25,2,0,0,0,94.5,0,0
INN33115,2,0,0,1,1,0,1,35,2018,3,25,1,0,0,0,540,0,0
INN27244,2,0,0,4,1,0,1,175,2018,10,4,1,0,0,0,82.28,0,0
INN23069,2,0,2,10,1,0,1,239,2018,12,27,2,0,0,0,78.77,0,0
INN18009,2,0,0,5,1,0,1,230,2018,9,6,1,0,0,0,137,1,0
INN20406,2,0,1,1,1,0,1,174,2017,10,10,1,0,0,0,70,0,0
INN10140,2,0,0,3,1,0,1,279,2018,10,12,1,0,0,0,110,0,0
INN05699,2,0,1,4,1,0,1,227,2018,8,24,2,0,0,0,90.95,0,0
INN05106,2,0,1,2,1,0,1,273,2018,5,13,2,0,0,0,95,0,0
INN16264,2,0,1,2,1,0,1,418,2018,9,26,1,0,0,0,75,0,0
INN01930,2,1,0,3,1,0,1,158,2018,7,7,2,0,0,0,131.8,1,0
INN20169,2,0,0,2,3,0,1,102,2017,10,16,1,0,0,0,101.5,0,0
INN27483,2,0,0,2,2,0,1,53,2018,5,6,2,0,0,0,116.1,0,0
INN30381,1,0,2,1,1,0,1,1,2018,2,28,1,0,0,0,60,0,0
INN31939,1,2,0,3,1,0,4,101,2018,7,21,2,0,0,0,142.3,0,0
INN22160,2,0,2,2,1,0,1,121,2018,5,8,2,0,0,0,99.45,0,0
INN12540,3,0,0,3,1,0,1,8,2018,2,4,2,0,0,0,127,0,0
INN30286,2,0,2,3,1,0,1,207,2018,9,30,2,0,0,0,106.25,2,0
INN19759,2,0,0,2,3,0,1,346,2018,9,13,1,0,0,0,115,1,0
INN35407,2,0,0,3,1,0,1,213,2018,6,7,1,0,0,0,130,0,0
INN07285,2,0,0,2,3,0,1,257,2017,7,1,2,0,0,0,101.5,0,0
INN11836,2,0,0,3,2,0,1,77,2018,3,31,2,0,0,0,76.5,0,0
INN32493,1,0,1,1,1,0,1,4,2018,9,26,1,0,0,0,98.1,0,0
INN29551,2,0,2,2,1,1,1,169,2018,4,23,2,0,0,0,118.25,2,0
INN25344,1,0,1,3,2,0,1,69,2018,11,7,2,0,0,0,173,1,0
INN08876,2,0,2,2,1,0,1,81,2018,3,25,1,0,0,0,65,0,0
INN34043,3,0,2,1,1,0,4,52,2018,8,27,2,0,0,0,150.9,1,0
INN22928,2,0,0,2,1,0,1,308,2018,11,25,1,0,0,0,52,0,0
INN33928,3,0,1,2,1,0,4,136,2018,9,30,2,0,0,0,154.8,1,0
INN22120,1,2,0,3,1,0,4,127,2018,12,27,2,0,0,0,101.55,1,0
INN14362,3,0,0,4,1,0,4,100,2018,8,24,2,0,0,0,150.3,0,0
INN26132,2,0,0,2,1,0,4,195,2018,8,30,2,0,0,0,109.8,0,0
INN36175,2,0,2,3,1,0,1,2,2018,5,28,2,0,0,0,113.05,0,0
INN06327,1,0,0,2,1,0,1,188,2018,6,15,2,0,0,0,130,0,0
INN00872,2,0,1,2,3,0,1,315,2018,9,30,2,0,0,0,160,0,0
INN05667,2,0,2,5,1,0,2,259,2018,11,12,2,0,0,0,72,0,0
INN00805,2,0,2,3,1,0,1,179,2018,9,2,2,0,0,0,119.85,0,0
INN26684,2,0,0,3,2,0,1,100,2018,4,27,2,0,0,0,91.5,0,0
INN28632,2,0,1,2,3,0,1,315,2018,9,30,1,0,0,0,160,0,0
INN34574,3,0,1,2,1,0,1,152,2018,8,5,2,0,0,0,110.65,2,0
INN24944,2,0,0,1,1,0,1,147,2018,8,6,2,0,0,0,114.3,1,0
INN03659,2,0,0,4,1,0,1,133,2018,11,2,2,0,0,0,90,2,0
INN22191,2,0,1,2,1,0,1,110,2018,10,10,2,0,0,0,118.8,2,0
INN07129,2,0,1,2,1,0,4,133,2018,8,19,2,0,0,0,82.45,0,0
INN12383,2,2,0,4,1,0,6,182,2018,12,27,2,0,0,0,144.5,1,0
INN10587,1,0,3,7,1,0,1,11,2018,11,18,2,0,0,0,76.93,1,0
INN12639,2,0,2,4,2,0,1,194,2018,10,8,2,0,0,0,105.6,1,0
INN31446,2,0,0,2,2,0,1,46,2018,6,28,2,0,0,0,107.1,0,0
INN03240,1,0,2,2,1,0,4,49,2018,4,10,2,0,0,0,112.2,0,0
INN06971,2,0,2,1,3,0,1,124,2017,8,8,2,0,0,0,94.5,0,0
INN01606,2,0,2,8,2,0,1,80,2018,3,30,2,0,0,0,73.1,0,0
INN32694,1,0,1,4,1,0,4,143,2018,9,21,2,0,0,0,143.1,1,0
INN03186,2,0,1,2,3,0,1,161,2018,3,25,2,0,0,0,130,0,0
INN22970,2,0,0,4,1,0,1,189,2018,7,5,2,0,0,0,90.95,1,0
INN00272,2,0,2,4,1,0,1,28,2018,8,28,2,0,0,0,115.37,1,0
INN13781,2,0,1,3,1,0,4,114,2018,5,9,2,0,0,0,107.95,0,0
INN35669,2,0,0,2,1,0,1,297,2018,9,23,2,0,0,0,118,1,0
INN32323,1,0,6,15,1,0,4,17,2018,2,19,2,0,0,0,103.39,1,0
INN29416,1,0,0,3,1,0,1,166,2018,11,1,1,0,0,0,110,0,0
INN04085,2,1,0,3,1,0,1,38,2018,3,24,2,0,0,0,133.8,0,0
INN15044,2,0,1,3,1,0,1,250,2018,9,26,1,0,0,0,95,0,0
INN23157,1,0,2,2,1,0,1,162,2018,10,14,1,0,0,0,115,0,0
INN32787,3,0,2,2,1,0,4,26,2018,4,10,2,0,0,0,153,0,0
INN24279,2,0,0,4,2,0,1,56,2018,3,15,2,0,0,0,68.64,0,0
INN17757,2,0,0,3,1,0,1,55,2018,4,6,2,0,0,0,118.33,1,0
INN18157,2,0,2,2,1,0,1,38,2018,8,21,2,0,0,0,135.9,0,0
INN25265,2,0,1,3,2,0,1,39,2018,11,7,2,0,0,0,148,0,0
INN15646,2,1,1,4,1,0,1,93,2018,8,3,2,0,0,0,134.1,0,0
INN18119,2,0,0,3,1,0,1,314,2018,10,12,1,0,0,0,75,0,0
INN01816,2,0,0,2,3,0,1,256,2018,6,15,2,0,0,0,115,1,0
INN10356,2,0,0,2,3,0,1,256,2018,6,15,1,0,0,0,115,1,0
INN25926,2,0,0,2,3,0,1,102,2017,10,16,1,0,0,0,101.5,0,0
INN14594,2,0,0,3,1,0,1,193,2017,10,15,1,0,0,0,65,0,0
INN05502,2,2,0,1,1,0,2,32,2018,9,2,2,0,0,0,198.9,0,0
INN09640,2,0,1,2,1,0,1,280,2018,9,19,1,0,0,0,110,0,0
INN22130,2,0,1,2,1,0,1,280,2018,9,19,1,0,0,0,110,0,0
INN31970,2,0,1,2,1,0,4,8,2018,3,11,2,0,0,0,124,0,0
INN31694,1,0,2,4,1,0,1,69,2018,6,12,1,0,0,0,120,0,0
INN18461,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130,0,0
INN22510,2,0,2,3,1,0,1,211,2018,7,30,2,0,0,0,90.95,0,0
INN27033,2,0,0,3,1,0,1,43,2018,7,19,2,0,0,0,123.9,0,0
INN30737,2,0,2,1,1,0,4,9,2018,3,5,1,0,0,0,92,0,0
INN26451,2,0,1,3,1,0,1,162,2018,8,15,2,0,0,0,105.83,1,0
INN05037,2,0,1,0,1,0,4,131,2018,12,26,2,0,0,0,103.5,0,0
INN35770,2,0,0,1,2,0,1,17,2018,7,23,2,0,0,0,139,1,0
INN25363,2,0,0,2,1,0,4,45,2018,3,17,2,0,0,0,103.95,1,0
INN25086,1,0,1,3,2,0,1,39,2018,3,10,2,0,0,0,51.28,1,0
INN02158,3,0,2,1,1,0,4,172,2018,8,21,2,0,0,0,107.1,1,0
INN01202,2,0,1,1,1,0,1,94,2018,10,31,2,0,0,0,90.45,0,0
INN14839,2,0,1,2,1,0,1,267,2018,9,30,1,0,0,0,95,0,0
INN19546,2,0,1,2,1,0,1,10,2018,10,3,1,0,0,0,105,0,0
INN03121,2,1,2,1,1,0,1,23,2018,6,18,2,0,0,0,149,0,0
INN08456,2,0,2,0,1,0,1,175,2018,9,18,2,0,0,0,126.9,0,0
INN13608,2,0,0,2,1,0,1,280,2018,8,4,2,0,0,0,73.46,0,0
INN25745,1,0,0,1,1,0,1,8,2018,2,19,3,0,0,0,81,0,0
INN25474,1,0,0,3,1,0,1,113,2018,5,31,3,0,0,0,100,0,0
INN13726,3,0,0,2,1,0,4,130,2018,6,9,2,0,0,0,159.3,0,0
INN23216,2,0,0,2,1,0,1,308,2018,11,25,1,0,0,0,52,0,0
INN35026,2,0,0,2,1,0,4,101,2018,7,22,2,0,0,0,123.3,0,0
INN04292,2,0,2,2,2,0,1,95,2018,5,21,2,0,0,0,109.65,0,0
INN18022,2,0,0,2,3,0,1,102,2017,10,16,1,0,0,0,101.5,0,0
INN15941,2,0,0,2,3,0,1,377,2018,10,14,1,0,0,0,115,1,0
INN13352,2,0,0,4,1,0,1,146,2018,6,1,2,0,0,0,100.3,0,0
INN29286,1,0,0,2,3,0,1,102,2017,10,16,1,0,0,0,87,0,0
INN35887,2,0,1,3,1,0,1,114,2018,12,1,2,0,0,0,85,1,0
INN13884,2,0,0,1,1,0,1,105,2018,4,6,1,0,0,0,75,0,0
INN33163,2,0,1,2,1,0,1,158,2018,8,29,2,0,0,0,96.3,0,0
INN05586,2,0,1,1,2,0,1,151,2018,8,13,2,0,0,0,103.5,0,0
INN02299,2,0,0,3,1,0,4,60,2018,3,10,2,0,0,0,87.3,0,0
INN26375,1,0,5,10,1,0,1,11,2018,5,9,4,0,0,0,95,0,0
INN07107,1,0,2,1,1,0,1,93,2018,10,15,2,0,0,0,115,0,0
INN28437,3,0,1,2,1,0,1,144,2018,4,22,1,0,0,0,105.4,1,0
INN19467,2,0,0,2,2,0,1,93,2018,6,28,2,0,0,0,103.5,0,0
INN03062,2,0,1,1,2,0,1,125,2018,12,26,2,0,0,0,79.2,1,0
INN03225,2,0,1,1,3,0,1,301,2018,7,30,2,0,0,0,115,1,0
INN29569,2,0,0,2,1,0,1,245,2018,10,28,2,0,0,0,96.3,0,0
INN02282,2,0,1,2,3,0,1,418,2018,9,26,2,0,0,0,107,0,0
INN28463,2,0,2,0,1,0,1,146,2018,4,24,1,0,0,0,95,0,0
INN26310,3,0,2,3,1,0,4,42,2018,4,24,2,0,0,0,134.98,0,0
INN09949,2,0,1,2,1,0,4,18,2018,7,8,2,0,0,0,166,0,0
INN05513,2,0,0,3,1,0,1,204,2018,5,5,2,0,0,0,100,0,0
INN02940,1,0,0,2,1,0,1,181,2018,10,11,2,0,0,0,120,0,0
INN14488,2,1,0,1,1,0,1,47,2018,7,5,2,0,0,0,134.1,0,0
INN35123,2,2,0,2,1,0,6,188,2018,7,7,2,0,0,0,168.3,0,0
INN08489,2,0,1,2,3,0,1,315,2018,9,30,1,0,0,0,160,0,0
INN06854,1,0,2,4,1,0,1,69,2018,6,12,2,0,0,0,120,0,0
INN21383,2,0,1,2,1,0,1,168,2018,4,22,1,0,0,0,85,0,0
INN15456,2,0,2,1,3,0,1,124,2017,8,8,1,0,0,0,94.5,0,0
INN27535,1,0,2,4,1,0,4,53,2018,6,18,2,0,0,0,122.4,1,0
INN14627,2,0,2,5,1,0,1,134,2018,6,9,2,0,0,0,119.85,1,0
INN18916,2,0,2,5,2,0,1,50,2018,11,20,2,0,0,0,74.8,1,0
INN29045,2,0,0,2,1,0,1,308,2018,11,25,1,0,0,0,52,0,0
INN26528,2,0,0,2,3,0,1,257,2017,7,1,1,0,0,0,101.5,0,0
INN07783,1,0,0,1,1,0,1,10,2018,11,10,2,0,0,0,120,0,0
INN15707,2,0,2,4,1,0,1,125,2017,7,15,2,0,0,0,76.5,0,0
INN08777,1,0,0,2,2,0,1,25,2018,2,16,2,0,0,0,56.98,0,0
INN12080,2,0,0,1,2,0,1,30,2018,5,21,2,0,0,0,116.1,0,0
INN30306,2,1,1,4,2,0,1,220,2018,10,24,2,0,0,0,118.25,1,0
INN06660,2,0,2,2,1,0,1,297,2018,10,23,2,0,0,0,90.95,0,0
INN17440,2,0,2,2,2,0,1,110,2018,4,9,2,0,0,0,76.5,1,0
INN25152,2,0,2,2,2,0,1,158,2018,7,24,2,0,0,0,89.25,0,0
INN28148,2,0,0,4,1,0,1,135,2017,10,7,2,0,0,0,89.25,0,0
INN12711,1,0,0,2,1,0,1,167,2018,10,5,1,0,0,0,78.2,0,0
INN20699,2,0,0,1,1,0,1,14,2017,11,4,2,0,0,0,87,1,0
INN02419,2,0,0,4,1,0,1,235,2018,9,28,2,0,0,0,119.85,0,0
INN20498,2,0,1,1,3,0,1,247,2018,6,6,1,0,0,0,115,1,0
INN32372,2,0,0,1,2,0,1,84,2018,12,22,2,0,0,0,79.2,0,0
INN21293,2,0,2,4,1,0,1,164,2018,8,14,2,0,0,0,106.53,0,0
INN32504,2,0,0,1,1,0,1,87,2017,9,11,3,0,0,0,100,0,0
INN24954,2,0,1,2,3,0,1,315,2018,9,30,1,0,0,0,160,0,0
INN06697,2,0,1,2,1,0,1,205,2018,9,5,2,0,0,0,126.9,2,0
INN14198,1,0,0,2,1,0,1,103,2018,4,19,1,0,0,0,115,0,0
INN18663,2,0,1,1,3,0,1,301,2018,7,30,1,0,0,0,115,1,0
INN31383,2,0,0,1,2,0,1,63,2018,9,3,2,0,0,0,99,0,0
INN35754,2,0,1,2,1,0,1,128,2018,6,20,2,0,0,0,120,0,0
INN00929,3,0,1,2,1,0,4,99,2018,5,13,2,0,0,0,159.3,0,0
INN00193,2,0,0,4,1,0,1,86,2018,4,6,2,0,0,0,84.58,0,0
INN14071,2,0,0,1,1,0,1,218,2018,8,6,2,0,0,0,96.3,1,0
INN01073,2,0,2,1,3,0,1,110,2017,7,25,2,0,0,0,94.5,0,0
INN10921,2,0,2,3,1,0,1,303,2018,8,19,1,0,0,0,78,0,0
INN19306,2,1,1,1,1,0,1,119,2018,12,24,2,0,0,0,109.8,0,0
INN23942,2,0,1,2,1,0,4,189,2018,10,28,2,0,0,0,109.8,0,0
INN09002,2,0,1,2,1,0,1,168,2018,4,22,1,0,0,0,85,0,0
INN10856,2,0,0,1,2,0,1,184,2018,10,12,2,0,0,0,98.1,0,0
INN28160,2,0,0,3,1,0,1,183,2018,9,8,1,0,0,0,110,1,0
INN14879,2,0,2,2,1,0,1,60,2018,3,20,1,0,0,0,75,0,0
INN23356,2,0,0,3,1,0,1,204,2018,5,5,1,0,0,0,100,0,0
INN02273,1,0,5,10,1,0,1,11,2018,5,9,4,0,0,0,95,0,0
INN01657,2,0,0,3,1,0,1,276,2018,9,22,2,0,0,0,116.33,0,0
INN24243,2,0,1,1,1,0,1,60,2017,9,21,1,0,0,0,48,0,0
INN19498,2,0,0,2,1,0,1,245,2018,6,17,1,0,0,0,75,0,0
INN13200,2,0,1,3,3,0,1,210,2017,10,8,1,0,0,0,86,0,0
INN13245,1,0,0,4,1,0,4,191,2018,8,30,2,0,0,0,84.43,2,0
INN30877,2,0,1,2,1,0,1,31,2018,9,16,1,0,0,0,75,0,0
INN13121,2,0,1,2,1,0,1,273,2018,5,13,1,0,0,0,95,0,0
INN13312,2,0,0,3,1,0,1,172,2018,8,23,2,0,0,0,102.3,0,0
INN25056,1,0,0,2,3,0,1,346,2018,9,13,2,0,0,0,3,0,0
INN18424,2,0,0,1,3,0,1,100,2017,10,16,1,0,0,0,108,0,0
INN35987,2,0,0,2,3,0,1,256,2018,6,15,1,0,0,0,115,1,0
INN07610,2,0,1,2,1,0,1,193,2018,6,20,2,0,0,0,120,0,0
INN18036,1,0,2,2,1,0,1,162,2018,10,14,1,0,0,0,115,0,0
INN09580,2,0,1,3,2,0,1,100,2018,9,5,2,0,0,0,91.51,1,0
INN30174,1,0,0,2,1,0,1,29,2018,10,20,2,0,0,0,129,1,0
INN02164,2,0,2,2,1,0,1,98,2018,4,9,2,0,0,0,86.7,1,0
INN06383,2,0,2,2,1,0,1,60,2018,3,20,2,0,0,0,75,0,0
INN12995,2,0,0,4,1,0,4,190,2018,6,8,2,0,0,0,90.65,2,0
INN29957,2,0,1,2,1,0,1,159,2018,9,19,1,0,0,0,144,0,0
INN26638,2,2,0,3,1,0,6,101,2018,6,28,2,0,0,0,186.3,0,0
INN31689,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130,0,0
INN23906,2,0,2,5,1,0,4,171,2018,7,20,2,0,0,0,106.13,1,0
INN20054,1,0,1,2,1,0,1,180,2018,10,10,1,0,0,0,120,1,0
INN26115,2,0,1,3,1,0,1,166,2018,7,7,2,0,0,0,90.95,0,0
INN26277,2,0,0,4,1,0,4,137,2018,6,28,2,0,0,0,103.7,1,0
INN12511,2,0,2,3,1,0,1,235,2018,8,12,2,0,0,0,90.95,1,0
INN27912,2,0,2,3,1,0,1,120,2018,3,27,2,0,0,0,84.15,0,0
INN23244,2,0,0,2,3,0,1,292,2018,7,21,1,0,0,0,115,0,0
INN17731,2,1,2,3,1,0,5,52,2018,10,23,2,0,0,0,145.24,0,0
INN13584,2,0,2,0,3,0,1,386,2018,10,23,1,0,0,0,115,1,0
INN29941,2,0,0,2,3,0,1,35,2018,3,16,2,0,0,0,116.1,0,0
INN30994,2,0,1,2,1,0,1,34,2018,8,1,2,0,0,0,135.9,0,0
INN22984,1,0,0,2,1,0,1,188,2018,6,15,1,0,0,0,130,0,0
INN32489,2,0,1,2,2,0,1,24,2018,10,3,2,0,0,0,116.1,0,0
INN20230,2,0,1,2,1,0,1,49,2018,3,4,2,0,0,0,78.3,0,0
INN35644,2,0,0,2,3,0,1,256,2018,6,15,1,0,0,0,115,1,0
INN02810,2,0,1,2,1,0,1,78,2018,3,25,2,0,0,0,100,0,0
INN27627,2,0,2,4,1,0,4,307,2018,9,11,2,0,0,0,108,0,0
INN35230,2,0,0,4,1,0,1,259,2018,10,5,1,0,0,0,89,0,0
INN05138,2,0,1,2,1,0,1,243,2018,9,9,2,0,0,0,106.2,2,0
INN23710,2,0,4,10,2,0,1,116,2018,4,26,2,0,0,0,86.21,0,0
INN01650,3,0,1,1,1,0,4,45,2018,4,30,2,0,0,0,159.3,0,0
INN36009,2,0,1,1,1,0,4,267,2018,10,1,2,0,0,0,115.2,0,0
INN01897,2,0,0,4,1,0,1,223,2018,8,30,2,0,0,0,90.95,2,0
INN03249,3,0,0,2,1,0,4,199,2018,11,16,2,0,0,0,140,0,0
INN13701,3,0,2,5,1,0,4,116,2018,8,5,2,0,0,0,145.41,0,0
INN24687,2,0,0,2,2,0,1,79,2018,11,25,2,0,0,0,88,1,0
INN18410,2,0,0,2,1,0,1,308,2018,11,25,1,0,0,0,52,0,0
INN35898,2,0,2,1,2,0,1,183,2018,10,29,2,0,0,0,80.1,2,0
INN10347,2,0,2,0,2,0,1,14,2018,4,3,2,0,0,0,89,1,0
INN21796,2,0,2,5,2,0,1,15,2018,11,22,2,0,0,0,77.35,2,0
INN30529,2,0,0,2,3,0,1,292,2018,7,21,1,0,0,0,115,0,0
INN32091,2,0,2,5,1,0,1,234,2018,9,12,2,0,0,0,105.04,0,0
INN28340,2,1,2,2,1,0,1,42,2018,3,20,2,0,0,0,113.6,0,0
INN06695,0,2,2,5,1,0,2,179,2018,9,2,2,0,0,0,121.01,0,0
INN00383,2,2,2,2,1,0,6,32,2018,12,2,2,0,0,0,147.9,0,0
INN30542,2,0,2,1,1,0,1,9,2018,6,12,2,0,0,0,123.33,0,0
